"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0036485",10.0068217024018,0.04886678533218,0.784562227394612,0.0622854167915497,0.950335541641778,NA
"FBgn0085433",513.675570136354,0.00749880577366298,0.120808887701237,0.062071639896294,0.950505781519251,0.98098127018148
"FBgn0011603",10.9125163457239,0.0431229735110577,0.698775001552747,0.0617122441633347,0.950791989123751,NA
"FBgn0084049",95.9596540333559,0.0142262134687915,0.232200315871092,0.0612669858584054,0.951146582859226,0.981521111684289
"FBgn0029864",10.3428200399143,-0.0441832086154947,0.721923054699598,-0.0612021022571165,0.951198255514376,NA
"FBgn0038385",10.2392724902385,-0.0406834493216159,0.667162544913801,-0.0609798161359198,0.951375283526195,NA
"FBgn0040011",3858.47006616114,0.00646329098702827,0.106813354146189,0.0605101397544578,0.951749340293258,0.981855004743919
"FBgn0039510",51.0658497667584,0.0198636677404253,0.329378113193296,0.0603065806281072,0.951911460904248,0.981855004743919
"FBgn0034961",316.006485935361,-0.00878568749105544,0.145885664322376,-0.0602231037015465,0.951977945015231,0.981855004743919
"FBgn0036450",1534.74774493121,-0.00609620524894099,0.101287606886137,-0.0601870795090862,0.952006636117417,0.981855004743919
"FBgn0031661",778.03167850329,0.00807587845457822,0.134547274684695,0.0600226089566187,0.952137627808181,0.981855004743919
"FBgn0038868",711.384049087533,0.00725868961881461,0.121031684864998,0.0599734658483119,0.952176767824707,0.981855004743919
"FBgn0036484",1299.78958518317,0.00617148188881281,0.103335575548423,0.0597227223640988,0.952376474204915,0.981871005548391
"FBgn0085413",17.8575969700007,-0.0320636067511259,0.537795014125766,-0.0596204983477732,0.952457892087767,0.981871005548391
"FBgn0016930",1948.86450027844,0.00662896387406005,0.111391736573202,0.0595103737313923,0.952545603079691,0.981871005548391
"FBgn0053554",4214.40368267365,0.00902746523736686,0.153403748216629,0.0588477487826357,0.953073376303168,0.982105118723667
"FBgn0264616",14.2437840547053,-0.0337273672502589,0.573249103096594,-0.0588354470474866,0.95308317469038,0.982105118723667
"FBgn0263911",1049.48721262676,0.00772640333675261,0.131442723557813,0.0587815219254358,0.953126126375578,0.982105118723667
"FBgn0038331",948.170801695281,-0.00800041186665321,0.136850033651545,-0.0584611611205321,0.953381298493115,0.982246649226038
"FBgn0030294",399.673143573919,0.00903398733482269,0.155581010420171,0.0580661310170502,0.953695952387883,0.982449419876162
"FBgn0003141",553.802774440334,-0.00806821021760123,0.140236049283608,-0.057533068414416,0.954120564939261,0.982565839192685
"FBgn0052756",62.4757577579506,-0.019127577001007,0.332684280929757,-0.057494682188022,0.954151142102531,0.982565839192685
"FBgn0003310",1993.2441990954,-0.00625336190009767,0.10904177416636,-0.0573483139641256,0.954267734673763,0.982565839192685
"FBgn0030630",711.234587114049,0.00833226033715956,0.145348586347834,0.0573260500602296,0.954285469522848,0.982565839192685
"FBgn0031051",2752.03662081089,0.00587445542956894,0.102728150892921,0.0571844755162799,0.95439824466623,0.982565839192685
"FBgn0031536",803.824190881101,-0.00660939323132961,0.116449632407133,-0.0567575276512831,0.954738347390445,0.982770516120885
"FBgn0029942",297.610404310375,-0.00925625683545955,0.163770256201597,-0.0565197676925249,0.95492774835338,0.982770516120885
"FBgn0037297",450.607837282127,0.0077679386889341,0.137727902166587,0.0564006172078226,0.955022665278978,0.982770516120885
"FBgn0029874",539.18599456877,0.00722462743300543,0.128225855993341,0.0563429846269121,0.955068576419744,0.982770516120885
"FBgn0037003",7.62814527836271,-0.0479366263317915,0.852767890994743,-0.0562129822639946,0.95517213916543,NA
"FBgn0025864",6774.96562629803,0.00574995195857356,0.103128147482252,0.0557554081882749,0.955536658760712,0.983130831061095
"FBgn0261111",323.756931936357,0.00846492474442387,0.152867110981886,0.0553744012695245,0.955840189365956,0.983212024382273
"FBgn0052438",1256.01868128427,0.0068711313791301,0.124116632707357,0.0553602787092275,0.955851440280476,0.983212024382273
"FBgn0030970",627.089043444654,-0.00689463335152353,0.124967841716315,-0.0551712605165638,0.9560020248366,0.98324560585526
